epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.47789,0,12.7742,0,0.22775,0.2,0.17622,0.11516,1.87475,2.37448,1.39451,0,0,0
2,2.07867,0,10.2029,0,0.26152,0.2,0.1824,0.11844,1.83789,2.36394,1.37198,1.16644e-06,1.16644e-06,1.16644e-06
3,2.49075,0,14.3269,0,0.29164,0.2,0.18634,0.11962,1.82211,2.36065,1.35569,2.28575e-06,2.28575e-06,2.28575e-06
4,2.89118,0,11.8662,0,0.24622,0.2,0.19544,0.12068,1.79589,2.36794,1.3365,3.35794e-06,3.35794e-06,3.35794e-06
5,9.75682,0,7.31337,0,0.23431,0.2,0.18979,0.11845,1.80625,2.35959,1.34118,4.38301e-06,4.38301e-06,4.38301e-06
6,10.1105,0,9.40819,0,0.23431,0.2,0.18979,0.11845,1.80625,2.35959,1.34118,5.36095e-06,5.36095e-06,5.36095e-06
7,10.5126,0,9.01739,0,0.17283,0.3,0.18463,0.11426,1.75629,2.37123,1.31362,6.29177e-06,6.29177e-06,6.29177e-06
8,10.8754,0,10.5297,0,0.17283,0.3,0.18463,0.11426,1.75629,2.37123,1.31362,7.17546e-06,7.17546e-06,7.17546e-06
9,11.2692,0,11.1414,0,0.17578,0.3,0.18333,0.11687,1.82633,2.39038,1.34545,8.01203e-06,8.01203e-06,8.01203e-06
10,11.6217,0,9.1499,0,0.17578,0.3,0.18333,0.11687,1.82633,2.39038,1.34545,8.80148e-06,8.80148e-06,8.80148e-06
11,12.0297,0,5.47264,0,0.14927,0.3,0.18151,0.11441,1.87258,2.41554,1.36861,9.5438e-06,9.5438e-06,9.5438e-06
12,12.3844,0,6.26902,0,0.14927,0.3,0.18151,0.11441,1.87258,2.41554,1.36861,1.0239e-05,1.0239e-05,1.0239e-05
13,12.9767,0,10.2769,0,0.16719,0.3,0.17977,0.11425,1.78286,2.31913,1.32578,1.08871e-05,1.08871e-05,1.08871e-05
14,13.5144,0,9.54922,0,0.16719,0.3,0.17977,0.11425,1.78286,2.31913,1.32578,1.1488e-05,1.1488e-05,1.1488e-05
15,14.0467,0,6.65078,0,0.16719,0.3,0.17977,0.11425,1.78286,2.31913,1.32578,1.20418e-05,1.20418e-05,1.20418e-05
16,14.6292,0,6.31759,0,0.12987,0.20946,0.17752,0.11445,1.77107,2.31812,1.31471,1.25486e-05,1.25486e-05,1.25486e-05
17,15.1741,0,6.53177,0,0.12987,0.20946,0.17752,0.11445,1.77107,2.31812,1.31471,1.30081e-05,1.30081e-05,1.30081e-05
18,21.777,0,8.18934,0,0.12987,0.20946,0.17752,0.11445,1.77107,2.31812,1.31471,1.34206e-05,1.34206e-05,1.34206e-05
19,22.3851,0,7.7071,0,0.95465,0.1,0.17575,0.11333,1.76767,2.29046,1.31953,1.37859e-05,1.37859e-05,1.37859e-05
