epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.10075,2.01115,3.08428,1.81395,0.00667,1,0.20114,0.03053,1.75658,3.32449,1.68274,0,0,0
2,3.66703,2.09236,3.26337,1.93061,0.00667,1,0.19864,0.03287,1.76294,3.34779,1.69159,1.9802e-05,1.9802e-05,1.9802e-05
3,4.2028,1.55779,2.94146,1.66564,0.00667,1,0.16665,0.02881,1.75257,3.36696,1.70297,3.9208e-05,3.9208e-05,3.9208e-05
4,4.63581,1.88825,3.09066,1.81369,0.00667,1,0.16215,0.02656,1.72598,3.3835,1.70116,5.8218e-05,5.8218e-05,5.8218e-05
5,5.10965,1.91149,3.11808,1.85061,0.00667,1,0.20364,0.04824,1.58802,3.38254,1.68305,7.6832e-05,7.6832e-05,7.6832e-05
6,5.76007,1.60299,3.13336,1.65591,0.00667,1,0.34669,0.09699,1.60197,3.47613,1.68663,9.505e-05,9.505e-05,9.505e-05
7,6.40158,1.46616,2.90242,1.55661,0.00667,1,0.43281,0.11575,1.81091,3.47536,1.8287,0.000112872,0.000112872,0.000112872
8,10.4025,1.45487,2.71163,1.39242,0.00667,1,0.48606,0.13844,1.7315,3.52401,1.73824,0.000130298,0.000130298,0.000130298
9,14.5538,1.28721,2.49324,1.3663,0.00667,1,0.5389,0.19195,1.76367,3.35221,1.74892,0.000147328,0.000147328,0.000147328
10,15.2008,1.19314,2.328,1.30661,0.00667,1,0.56702,0.2129,1.77664,3.28234,1.68525,0.000163962,0.000163962,0.000163962
11,18.9861,1.52818,2.32031,1.48106,0.00667,1,0.48725,0.18503,1.72387,3.28945,1.64848,0.0001802,0.0001802,0.0001802
12,22.8548,1.28559,2.12608,1.30608,0.00667,1,0.63676,0.20476,1.71078,3.22053,1.56697,0.000196042,0.000196042,0.000196042
13,23.4508,1.14605,1.76591,1.21877,0.00667,1,0.62511,0.2411,1.69202,3.17548,1.63565,0.000211488,0.000211488,0.000211488
14,24.1327,1.26975,1.79986,1.35735,0.00667,1,0.52665,0.22198,1.6647,3.14774,1.61385,0.000226538,0.000226538,0.000226538
