epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.02615,2.01115,3.08428,1.81395,0.00667,1,0.20114,0.03053,1.75658,3.32449,1.68274,0,0,0
2,3.59952,2.09236,3.26337,1.93061,0.00667,1,0.19864,0.03287,1.76294,3.34779,1.69159,1.9868e-05,1.9868e-05,1.9868e-05
3,4.14078,1.55779,2.94146,1.66564,0.00667,1,0.16665,0.02881,1.75257,3.36696,1.70297,3.9472e-05,3.9472e-05,3.9472e-05
4,4.5851,1.88825,3.09066,1.81369,0.00667,1,0.16215,0.02656,1.72598,3.3835,1.70116,5.8812e-05,5.8812e-05,5.8812e-05
5,5.06348,1.91149,3.11808,1.85061,0.00667,1,0.20943,0.04938,1.5849,3.38142,1.68136,7.7888e-05,7.7888e-05,7.7888e-05
6,5.71216,1.60239,3.1336,1.65633,0.00667,1,0.35585,0.0983,1.59492,3.477,1.6842,9.67e-05,9.67e-05,9.67e-05
7,9.44421,1.46317,2.89581,1.5556,0.00667,1,0.47513,0.14262,1.7472,3.5081,1.78552,0.000115248,0.000115248,0.000115248
8,13.3314,1.45831,2.70565,1.39404,0.00667,1,0.49007,0.14671,1.74815,3.51641,1.75902,0.000133532,0.000133532,0.000133532
9,14.0006,1.27133,2.49171,1.35506,0.00667,1,0.53319,0.18224,1.73814,3.38469,1.71181,0.000151552,0.000151552,0.000151552
10,17.8048,1.17762,2.31915,1.29613,0.00667,1,0.57959,0.21072,1.62364,3.31648,1.64045,0.000169308,0.000169308,0.000169308
11,21.5756,1.49918,2.29662,1.45671,0.00667,1,0.59039,0.21512,1.64648,3.15952,1.56649,0.0001868,0.0001868,0.0001868
12,22.2411,1.32266,2.09963,1.33088,0.00667,1,0.66049,0.25906,1.52059,3.19219,1.4705,0.000204028,0.000204028,0.000204028
13,22.8866,1.17065,1.72927,1.23269,0.00583,0.875,0.61164,0.27707,1.68974,3.02382,1.70792,0.000220992,0.000220992,0.000220992
14,30.3645,1.24624,1.77594,1.31374,0.00583,0.875,0.63724,0.25318,1.74742,2.89286,1.69989,0.000237692,0.000237692,0.000237692
15,30.9726,1.0839,1.51447,1.12476,0.00667,1,0.70333,0.24396,1.6637,2.91926,1.5887,0.000254128,0.000254128,0.000254128
16,31.5924,0.98709,1.80904,1.19339,0.00667,1,0.61723,0.22519,1.41516,2.97928,1.34064,0.0002703,0.0002703,0.0002703
17,32.2079,1.16823,1.66082,1.19417,0.00667,1,0.77357,0.26941,1.43123,2.9429,1.36733,0.000286208,0.000286208,0.000286208
18,37.2372,1.08749,1.39548,1.21632,0.00667,1,0.77357,0.26941,1.43123,2.9429,1.36733,0.000301852,0.000301852,0.000301852
19,39.8579,1.04175,1.47267,1.13879,0.00583,0.875,0.79889,0.33538,1.44093,2.87523,1.39178,0.000317232,0.000317232,0.000317232
20,40.4803,1.01237,1.43927,1.18368,0.00583,0.875,0.79889,0.33538,1.44093,2.87523,1.39178,0.000332348,0.000332348,0.000332348
21,41.1543,0.92271,1.19968,1.06061,0.00583,0.875,0.87536,0.40772,1.48258,2.85763,1.49071,0.0003472,0.0003472,0.0003472
22,48.4505,1.09657,1.40806,1.17724,0.00583,0.875,0.87536,0.40772,1.48258,2.85763,1.49071,0.000361788,0.000361788,0.000361788
23,49.1426,0.87267,1.21186,1.09577,0.01543,0.75,0.53027,0.34093,1.43858,2.84515,1.47749,0.000376112,0.000376112,0.000376112
24,49.7251,0.84316,1.28576,1.03266,0.01543,0.75,0.53027,0.34093,1.43858,2.84515,1.47749,0.000390172,0.000390172,0.000390172
25,50.4802,0.87471,1.34291,1.10615,0.82748,0.625,0.55421,0.32421,1.64248,2.78934,1.64213,0.000403968,0.000403968,0.000403968
26,51.054,1.05483,1.3513,1.14296,0.82748,0.625,0.55421,0.32421,1.64248,2.78934,1.64213,0.0004175,0.0004175,0.0004175
27,51.6684,1.08784,1.28541,1.17018,0.00583,0.875,0.74279,0.42893,1.5131,2.69041,1.43216,0.000430768,0.000430768,0.000430768
28,52.3258,0.86111,1.25975,1.02109,0.00583,0.875,0.74279,0.42893,1.5131,2.69041,1.43216,0.000443772,0.000443772,0.000443772
29,59.9649,1.17381,1.4087,1.21712,0.0188,0.875,0.85911,0.5491,1.35113,2.55999,1.29145,0.000456512,0.000456512,0.000456512
30,60.6135,0.99196,1.21177,1.12078,0.0188,0.875,0.85911,0.5491,1.35113,2.55999,1.29145,0.000468988,0.000468988,0.000468988
31,61.2902,0.90135,1.17972,1.1438,0.087,0.875,0.87536,0.57434,1.30009,2.52578,1.21596,0.0004812,0.0004812,0.0004812
32,70.2959,1.10232,1.18096,1.15908,0.087,0.875,0.87536,0.57434,1.30009,2.52578,1.21596,0.000493148,0.000493148,0.000493148
